"service_product","count"
"ยันฮี น้ำกัญชา กลิ่นลาเวนเดอร์มิกเบอรี่",36
"หน้ากากดั๊บเบิ้ลเอ 3D",32
"ชุดตรวจ Singclean ATK",32
"โซฟีคูลลิ่งสลิมมีปีก 23ซม.4ชิ้น",32
"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง",32
"หน้ากากผ้า N Lux",32
"หน้ากากสายคล้องคอสีน้ำตาล Mask Drop",32
NULL,28
"RABBITCARD-REGISTER",26
"มาม่า คัพ-โจ๊กไก่",26
"RABBITCARD-SALE",25
"น้ำดื่มดราก้อน 6.11",24
"น้ำกัญชากลิ่นสับปะรด ตราเมจิกฟาร์ม",18
"ผลิตภัณฑ์นมจืด ตรา ว้าวว",18
"เครื่องดื่ม น้ำกัญชา แบบอัดลม",18
"น้ำกัญชากลิ่นมิกซ์เบอรี่ ตราเมจิกฟาร์ม",18
"M-Sport 250 ml.",18
"น้ำแร่ ตราเวนดิ้ง พลัส 500 มล.",12
"MPAYWALLET",9
"มาม่า คัพ-โจ๊กหมู",8
"มิรินด้า รสส้ม 245ml.",8
"BAACLOTTO",6
"CIMBDEPOSIT",5
"เดนทีนไอซ์กลิ่นเชอรี่แผง",4
"อิชิตัน กรีนที น้ำผึ้งผสมมะนาว 275 มล.",3
"AEON",2
"หน้ากาก Triple Mask สีดำแบบมีสายคล้อง",2
"SABUYWASH",2
"น้ำแร่ โดเรม่อน 500ml.",2
"GSBCASHCARD",2
"หน้ากากสายคล้องคอสีชมพู Mask Drop",2
"MISTINE",2
"STEAMWALLET",2
"PAYMENT",1
"MPAYMEA",1
"อควา วิตซ์ กลิ่นน้ำผึ้งเลมอน 320",1
