"entity","device","lat_lng"
"VDC","VDC25933","13.6774250000000013 , 100.319403333333327"
"VDC","VDC2597","12.9575533333333315 , 101.288759999999996"
"VDC","VDC26439","0 , 0"
"VDC","VDC26662","0 , 0"
"VDC","VDC26668","0 , 0"
"VDC","VDC26685","0 , 0"
"VDC","VDC26851","0 , 0"
"VDC","VDC27155","0 , 0"
"VDC","VDC27157","0 , 0"
"VDC","VDC27161","0 , 0"
"VDC","VDC27167","0 , 0"
"VDC","VDC27180","13.7162550000000003 , 100.818020000000004"
"VDC","VDC27184","0 , 0"
"VDC","VDC27191","0 , 0"
"VDC","VDC27206","15.1056233333333321 , 104.386663333333345"
"VDC","VDC27207","13.8481749999999995 , 100.378080000000011"
"VDC","VDC27212","9.09574499999999908 , 99.2308283333333492"
"VDC","VDC27220","16.4649566666666693 , 102.827526666666657"
"VDC","VDC27229","13.6272649999999995 , 100.628456666666651"
"VDC","VDC27233","16.4212050000000005 , 102.809926666666669"
"VDC","VDC27238","14.8550166666666659 , 101.702234999999988"
"VDC","VDC27251","17.2741566666666664 , 101.154931666666656"
"VDC","VDC27255","16.399556666666669 , 102.838176666666669"
"VDC","VDC27258","13.031976666666667 , 101.109853333333348"
"VDC","VDC27271","15.2788816666666669 , 103.279541666666645"
"VDC","VDC27291","7.86009666666666718 , 98.367005000000006"
"VDC","VDC27298","13.0369650000000021 , 101.126683333333347"
"VDC","VDC27303","0 , 0"
"VDC","VDC27304","13.9568233333333342 , 100.577880000000007"
"VDC","VDC27313","16.3615349999999999 , 104.535101666666677"
"VDC","VDC27320","13.987938333333334 , 100.536238333333344"
"VDC","VDC27325","13.6324216666666675 , 100.365470000000002"
"VDC","VDC27332","0 , 0"
"VDC","VDC27336","0 , 0"
"VDC","VDC27342","13.9671566666666642 , 100.745960000000011"
"VDC","VDC27373","0 , 0"
"VDC","VDC27396","0 , 0"
"VDC","VDC27518","0 , 0"
"VDC","VDC27523","0 , 0"
"VDC","VDC27533","16.8144233333333304 , 100.267889999999994"
"VDC","VDC27559","16.5877400000000002 , 101.25301833333333"
"VDC","VDC27564","16.7949183333333316 , 101.318145000000001"
"VDC","VDC27630","17.3183183333333304 , 99.8322616666666676"
"VDC","VDC27641","16.8229083333333307 , 100.428656666666669"
"VDC","VDC27652","18.7769666666666666 , 99.0702783333333485"
"VDC","VDC27802","13.8271400000000018 , 100.536241666666655"
"VDC","VDC27806","13.5619916666666658 , 100.679844999999986"
"VDC","VDC27813","0 , 0"
"VDC","VDC27844","13.8386300000000002 , 100.582366666666658"
"VDC","VDC27995","0 , 0"
"VDC","VDC28033","17.3909983333333358 , 102.771156666666656"
"VDC","VDC28050","0 , 0"
"VDC","VDC28056","14.6817499999999992 , 100.858686666666657"
"VDC","VDC28057","13.8469666666666669 , 100.647239999999996"
"VDC","VDC28149","0 , 0"
"VDC","VDC28165","0 , 0"
"VDC","VDC28295","14.3370949999999997 , 100.558610000000016"
"VDC","VDC28317","8.06098499999999873 , 98.9046949999999896"
"VDC","VDC28433","14.46401 , 100.138220000000004"
"VDC","VDC28684","8.79261333333333184 , 99.9179633333333186"
"VDC","VDC28719","0 , 0"
"VDC","VDC28886","0 , 0"
"VDC","VDC28936","0 , 0"
"VDC","VDC28962","0 , 0"
"VDC","VDC28973","8.4339716666666682 , 99.9189816666666673"
"VDC","VDC28977","0 , 0"
"VDC","VDC28982","12.6658549999999988 , 100.937993333333324"
"VDC","VDC29115","16.6145449999999997 , 103.167626666666663"
"VDC","VDC29184","0 , 0"
"VDC","VDC29188","0 , 0"
"VDC","VDC29191","0 , 0"
"VDC","VDC29220","14.84511 , 100.631131666666661"
"VDC","VDC29249","14.8499116666666655 , 100.666518333333315"
"VDC","VDC29457","0 , 0"
"VDC","VDC29503","17.4888383333333337 , 102.797538333333335"
"VDC","VDC29504","17.2552466666666682 , 104.186783333333338"
"VDC","VDC29534","15.3233599999999992 , 103.285288333333327"
"VDC","VDC29556","16.9477683333333324 , 103.419825000000003"
"VDC","VDC29562","17.5823700000000009 , 102.987368333333322"
"VDC","VDC29564","0 , 0"
"VDC","VDC29569","17.4705983333333315 , 104.102581666666666"
"VDC","VDC29716","13.9342383333333331 , 100.761083333333346"
"VDC","VDC29723","13.9991400000000006 , 100.682393333333337"
"VDC","VDC29726","13.6801549999999974 , 100.472608333333326"
