"entity","device","service_product","count"
"VDC","VDC4129","DTAC",243
"VDC","VDC4129","CIMBDEPOSIT",243
"VDC","VDC4129","AISPROSERM",243
"VDC","VDC4129","AISBILL",243
"VDC","VDC4129","AIS",243
"VDC","VDC4129","AIRPAYWALLET",243
"VDC","VDC4129","TRUEPROSERM",243
"VDC","VDC4129","TRUE",243
"VDC","VDC4129","TMNTOPUP",243
"VDC","VDC4129","SCBDEPOSIT",243
"VDC","VDC4129","MYCAT",243
"VDC","VDC8602","GSBDEPOSITONLINE",240
"VDC","VDC8602","DTACPROSERM",240
"VDC","VDC8602","DTAC",240
"VDC","VDC8602","BAYDEPOSIT",240
"VDC","VDC8602","BAACDEPOSIT",240
"VDC","VDC8602","AIS",240
"VDC","VDC8602","AIRPAYWALLET",240
"VDC","VDC8602","PEA",240
"VDC","VDC8602","SCBDEPOSIT",240
"VDC","VDC8602","TMNEPIN",240
"VDC","VDC8602","TMNTOPUP",240
"VDC","VDC8602","TRUE",240
"VDC","VDC8602","TRUEPOSTPAID",240
"VDC","VDC8602","TRUEPROSERM",240
"VDC","VDC8602","MYCAT",240
"VDC","VDC8602","KTBDEPOSIT",240
"VDC","VDC8602","KBANKDEPOSIT",240
"VDC","VDC8602","GSBDEPOSIT",240
"VDP","VFE369","โค้ก-สลิม",232
"VDP","VFS236","เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม",232
"VDP","VFE369","คาราบาวแดง",232
"VDP","VFS236","เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม",232
"VDP","VFE369","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",232
"VDP","VFS236","นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี",232
"VDP","VFE369","เบอร์ดี้โรบัสต้า 180 มล.",232
"VDP","VFE369","เป๊ปซี่ สลิม 245 มล.",232
"VDP","VFE369","เอ็ม-150",232
"VDP","VFS236","ทาโร่โรล 2ม. รสบาร์บีคิว",232
"VDP","VFS236","เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว",232
"VDP","VFE369","เนสกาแฟ เอสเปรสโซ",232
"VDP","VFE369","บิ๊กกรีนที",232
"VDP","VFS236","เลย์ รสโนริสาหร่าย",232
"VDP","VFE1840","M-150 น้ำผึ้ง 150 มล.",225
"VDP","VFE1840","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",225
"VDC","VDC63047","GSBDEPOSITONLINE",221
"VDC","VDC63047","3BBONLINE",221
"VDC","VDC63047","AIRPAYWALLET",221
"VDC","VDC63047","AIS",221
"VDC","VDC63047","AISBILL",221
"VDC","VDC63047","AISPROSERM",221
"VDC","VDC63047","BAACDEPOSIT",221
"VDC","VDC63047","DTAC",221
"VDC","VDC63047","DTACPROSERM",221
"VDC","VDC63047","GSBDEPOSIT",221
"VDC","VDC63047","KBANKDEPOSIT",221
"VDC","VDC63047","KTBDEPOSIT",221
"VDC","VDC63047","MYCAT",221
"VDC","VDC63047","PEA",221
"VDC","VDC63047","RABBITLINEPAY",221
"VDC","VDC63047","SCBDEPOSIT",221
"VDC","VDC63047","TMNEPIN",221
"VDC","VDC63047","TMNTOPUP",221
"VDC","VDC63047","TRUE",221
"VDC","VDC63047","TRUEPOSTPAID",221
"VDC","VDC63047","TRUEPROSERM",221
"VDP","VFE2358","M-150 น้ำผึ้ง 150 มล.",220
"VDP","VFE782","เบอร์ดี้โรบัสต้า 180 มล.",217
"VDP","VFE782","เป๊ปซี่ สลิม 245 มล.",217
"VDP","VFE782","เมจิกฟาร์ม มะพร้าว",217
"VDP","VFE782","ซีวิท-ออเร้นจ์",217
"VDP","VFE782","ยูนิฟ-แครอทม่วง(กระป๋อง)",217
"VDP","VFE782","ลิปตัน ไอซ์ที",217
"VDP","VFE782","สิงห์ เลมอนโซดา 330 มล.",217
"VDP","VFE782","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",217
"VDP","VFE782","บิ๊กโคล่า-น้ำดำ",217
"VDP","VFE782","โค้ก-สลิม",217
"VDP","VFE782","ชเวปส์",217
"VDP","VFE782","ซีวิท-เลมอน",217
"VDP","VFE782","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",217
"VDP","VFE782","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",217
"VDP","VFE782","เนสกาแฟ ลาเต้",217
"VDP","VFE782","เนสกาแฟ เอสเปรสโซ",217
"VDP","VFE782","บิ๊กกรีนที",217
"VDP","VFE782","UFC- เฉาก๊วย",217
"VDP","VFE782","611 เอ็มจอย 300ml. องุ่น",217
"VDP","VFE782","611 น้ำวิตามินซี (Six.Eleven)",217
"VDP","VFE782","611 เอ็มจอย300ml ลิ้นจี่",217
"VDC","VDC6335","KTBDEPOSIT",216
"VDC","VDC6335","KBANKDEPOSIT",216
"VDC","VDC6335","DTAC",216
"VDC","VDC6335","DTACPROSERM",216
